pid,condition,ctrl,profile,profile_label,human,seg_order,segment,pos,first_seg,at1_pass,av1_pass,attention_pass,BEL1,NARS,GAAIS_pos,GAAIS_neg,GAAIS,SCM_comp,SCM_warm,PE,HM,BG_age,BG_gender,BG_freq_ai,BG_freq_robot,BG_freq_disability,mobile,dur_min,gate_open,watch_s,dwell_s,OH1,OH2,OH3,AU1,CR1,CR2,CR3,R1_CTRL,R1_AI,R1_ORG,R1_USER,R2_CTRL,R2_AI,R2_ORG,R2_USER,OH
dee4a69a-fa41-4488-8460-e94bcc7fcec0,HA2,HA,2.0,intellectual,1,O4,REL,1,REL,1,1,True,6.0,2.3,6.0,5.5,5.777777777777778,4.6,6.0,6.0,5.333333333333333,26.0,0.0,5.0,4.0,4.0,0,14.883333333333333,1,69.411,236.289,6.0,6.0,6.0,6.0,6.0,6.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,6.0
dee4a69a-fa41-4488-8460-e94bcc7fcec0,HA2,HA,2.0,intellectual,1,O4,COL,2,REL,1,1,True,6.0,2.3,6.0,5.5,5.777777777777778,4.6,6.0,6.0,5.333333333333333,26.0,0.0,5.0,4.0,4.0,0,14.883333333333333,1,115.507,177.546,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,6.0
dee4a69a-fa41-4488-8460-e94bcc7fcec0,HA2,HA,2.0,intellectual,1,O4,ADV,3,REL,1,1,True,6.0,2.3,6.0,5.5,5.777777777777778,4.6,6.0,6.0,5.333333333333333,26.0,0.0,5.0,4.0,4.0,0,14.883333333333333,1,104.763,154.34,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,6.0
037e2cc2-250c-40bb-bc6f-4a8ca92fa73d,HA3,HA,3.0,mobility,1,O2,ADV,1,ADV,1,1,True,3.0,4.7,3.8,4.5,4.111111111111111,4.8,6.0,2.25,1.0,48.0,1.0,4.0,0.0,1.0,0,20.766666666666666,1,103.992,366.374,6.0,6.0,3.0,3.0,5.0,5.0,6.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0
037e2cc2-250c-40bb-bc6f-4a8ca92fa73d,HA3,HA,3.0,mobility,1,O2,COL,2,ADV,1,1,True,3.0,4.7,3.8,4.5,4.111111111111111,4.8,6.0,2.25,1.0,48.0,1.0,4.0,0.0,1.0,0,20.766666666666666,1,115.241,341.342,6.0,6.0,3.0,3.0,6.0,6.0,6.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,5.0
037e2cc2-250c-40bb-bc6f-4a8ca92fa73d,HA3,HA,3.0,mobility,1,O2,REL,3,ADV,1,1,True,3.0,4.7,3.8,4.5,4.111111111111111,4.8,6.0,2.25,1.0,48.0,1.0,4.0,0.0,1.0,0,20.766666666666666,1,69.174,149.346,6.0,6.0,2.0,2.0,6.0,6.0,6.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,4.666666666666667
36254981-6b14-48df-8f4e-e6f469e3936d,HA2,HA,2.0,intellectual,1,O5,ADV,1,ADV,1,1,True,7.0,5.0,1.8,3.0,2.3333333333333335,4.8,5.25,5.75,3.6666666666666665,35.0,1.0,3.0,0.0,4.0,0,20.3,1,103.878,189.728,6.0,6.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.666666666666667
36254981-6b14-48df-8f4e-e6f469e3936d,HA2,HA,2.0,intellectual,1,O5,REL,2,ADV,1,1,True,7.0,5.0,1.8,3.0,2.3333333333333335,4.8,5.25,5.75,3.6666666666666665,35.0,1.0,3.0,0.0,4.0,0,20.3,1,69.406,120.519,7.0,7.0,5.0,5.0,6.0,6.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,6.333333333333333
36254981-6b14-48df-8f4e-e6f469e3936d,HA2,HA,2.0,intellectual,1,O5,COL,3,ADV,1,1,True,7.0,5.0,1.8,3.0,2.3333333333333335,4.8,5.25,5.75,3.6666666666666665,35.0,1.0,3.0,0.0,4.0,0,20.3,1,115.329,158.064,6.0,6.0,4.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.333333333333333
09299d61-82dd-4739-b4cc-98cc77e3d3b8,H1,H,1.0,no mention,1,O6,COL,1,COL,1,1,True,7.0,2.1,5.0,5.25,5.111111111111111,7.0,7.0,5.5,6.0,38.0,0.0,4.0,0.0,2.0,0,24.783333333333335,1,289.296,305.144,7.0,7.0,7.0,6.0,7.0,7.0,7.0,2.0,,1.0,3.0,2.0,,1.0,3.0,7.0
09299d61-82dd-4739-b4cc-98cc77e3d3b8,H1,H,1.0,no mention,1,O6,ADV,2,COL,1,1,True,7.0,2.1,5.0,5.25,5.111111111111111,7.0,7.0,5.5,6.0,38.0,0.0,4.0,0.0,2.0,0,24.783333333333335,1,165.571,214.92,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,,2.0,3.0,2.0,,3.0,1.0,7.0
09299d61-82dd-4739-b4cc-98cc77e3d3b8,H1,H,1.0,no mention,1,O6,REL,3,COL,1,1,True,7.0,2.1,5.0,5.25,5.111111111111111,7.0,7.0,5.5,6.0,38.0,0.0,4.0,0.0,2.0,0,24.783333333333335,1,69.317,406.368,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,,2.0,3.0,1.0,,2.0,3.0,7.0
e1a45651-cb37-43e9-ab4a-70ea7659edb2,A,A,,AI (no operator),0,O5,ADV,1,ADV,0,0,False,5.0,3.1,6.2,5.0,5.666666666666667,5.6,5.75,5.5,5.333333333333333,26.0,1.0,2.0,2.0,3.0,0,47.35,1,105.222,254.718,5.0,6.0,6.0,5.0,6.0,6.0,,,1.0,2.0,3.0,,1.0,2.0,3.0,5.666666666666667
e1a45651-cb37-43e9-ab4a-70ea7659edb2,A,A,,AI (no operator),0,O5,REL,2,ADV,0,0,False,5.0,3.1,6.2,5.0,5.666666666666667,5.6,5.75,5.5,5.333333333333333,26.0,1.0,2.0,2.0,3.0,0,47.35,1,84.689,121.581,6.0,5.0,6.0,5.0,6.0,6.0,,,1.0,2.0,3.0,,1.0,2.0,3.0,5.666666666666667
e1a45651-cb37-43e9-ab4a-70ea7659edb2,A,A,,AI (no operator),0,O5,COL,3,ADV,0,0,False,5.0,3.1,6.2,5.0,5.666666666666667,5.6,5.75,5.5,5.333333333333333,26.0,1.0,2.0,2.0,3.0,0,47.35,1,115.265,148.656,6.0,6.0,6.0,7.0,6.0,6.0,,,1.0,2.0,3.0,,1.0,2.0,3.0,6.0
a51241bc-bab2-45cd-b646-bf70aeba897a,H3,H,3.0,mobility,1,O4,REL,1,REL,1,1,True,3.0,4.0,4.4,2.5,3.5555555555555554,4.8,4.75,4.25,5.0,52.0,0.0,4.0,0.0,0.0,0,17.75,1,69.345,228.057,5.0,5.0,6.0,5.0,5.0,5.0,7.0,1.0,,2.0,3.0,1.0,,3.0,2.0,5.333333333333333
a51241bc-bab2-45cd-b646-bf70aeba897a,H3,H,3.0,mobility,1,O4,COL,2,REL,1,1,True,3.0,4.0,4.4,2.5,3.5555555555555554,4.8,4.75,4.25,5.0,52.0,0.0,4.0,0.0,0.0,0,17.75,1,115.271,232.626,6.0,6.0,6.0,6.0,4.0,6.0,7.0,1.0,,3.0,2.0,1.0,,3.0,2.0,6.0
a51241bc-bab2-45cd-b646-bf70aeba897a,H3,H,3.0,mobility,1,O4,ADV,3,REL,1,1,True,3.0,4.0,4.4,2.5,3.5555555555555554,4.8,4.75,4.25,5.0,52.0,0.0,4.0,0.0,0.0,0,17.75,1,103.793,165.261,6.0,6.0,6.0,6.0,6.0,6.0,7.0,1.0,,3.0,2.0,1.0,,2.0,3.0,6.0
183aa168-7931-4cf4-827e-cd6cff0472b8,HA1,HA,1.0,no mention,1,O2,ADV,1,ADV,1,1,True,7.0,3.3,5.6,4.75,5.222222222222222,5.6,5.75,4.75,6.666666666666667,43.0,1.0,3.0,1.0,4.0,0,16.266666666666666,1,104.085,268.166,7.0,7.0,6.0,7.0,6.0,6.0,7.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,6.666666666666667
183aa168-7931-4cf4-827e-cd6cff0472b8,HA1,HA,1.0,no mention,1,O2,COL,2,ADV,1,1,True,7.0,3.3,5.6,4.75,5.222222222222222,5.6,5.75,4.75,6.666666666666667,43.0,1.0,3.0,1.0,4.0,0,16.266666666666666,1,115.344,229.057,7.0,7.0,6.0,7.0,6.0,6.0,7.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,6.666666666666667
183aa168-7931-4cf4-827e-cd6cff0472b8,HA1,HA,1.0,no mention,1,O2,REL,3,ADV,1,1,True,7.0,3.3,5.6,4.75,5.222222222222222,5.6,5.75,4.75,6.666666666666667,43.0,1.0,3.0,1.0,4.0,0,16.266666666666666,1,69.416,128.866,7.0,7.0,6.0,7.0,7.0,6.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,6.666666666666667
1af49545-f786-4c76-9b5e-85ad9453db7e,HA1,HA,1.0,no mention,1,O1,REL,1,REL,1,1,True,5.0,4.4,4.0,3.5,3.7777777777777777,4.2,4.5,4.5,4.0,36.0,0.0,0.0,0.0,2.0,0,13.383333333333333,1,170.69,235.868,4.0,4.0,3.0,4.0,5.0,6.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,3.6666666666666665
1af49545-f786-4c76-9b5e-85ad9453db7e,HA1,HA,1.0,no mention,1,O1,ADV,2,REL,1,1,True,5.0,4.4,4.0,3.5,3.7777777777777777,4.2,4.5,4.5,4.0,36.0,0.0,0.0,0.0,2.0,0,13.383333333333333,1,103.878,169.425,6.0,6.0,3.0,5.0,5.0,6.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,5.0
1af49545-f786-4c76-9b5e-85ad9453db7e,HA1,HA,1.0,no mention,1,O1,COL,3,REL,1,1,True,5.0,4.4,4.0,3.5,3.7777777777777777,4.2,4.5,4.5,4.0,36.0,0.0,0.0,0.0,2.0,0,13.383333333333333,1,115.329,166.395,6.0,6.0,3.0,6.0,6.0,6.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,5.0
f0f1f334-0813-4391-a751-f43866380806,H3,H,3.0,mobility,1,O1,REL,1,REL,1,1,True,6.0,3.4,5.0,4.5,4.777777777777778,4.6,4.25,5.25,4.0,35.0,1.0,5.0,3.0,5.0,0,10.0,1,69.927,110.849,5.0,5.0,5.0,6.0,5.0,5.0,6.0,1.0,,3.0,2.0,2.0,,3.0,1.0,5.0
f0f1f334-0813-4391-a751-f43866380806,H3,H,3.0,mobility,1,O1,ADV,2,REL,1,1,True,6.0,3.4,5.0,4.5,4.777777777777778,4.6,4.25,5.25,4.0,35.0,1.0,5.0,3.0,5.0,0,10.0,1,103.903,162.083,5.0,6.0,5.0,6.0,5.0,6.0,5.0,1.0,,2.0,3.0,1.0,,2.0,3.0,5.333333333333333
f0f1f334-0813-4391-a751-f43866380806,H3,H,3.0,mobility,1,O1,COL,3,REL,1,1,True,6.0,3.4,5.0,4.5,4.777777777777778,4.6,4.25,5.25,4.0,35.0,1.0,5.0,3.0,5.0,0,10.0,1,115.332,142.215,5.0,6.0,6.0,6.0,5.0,6.0,5.0,1.0,,2.0,3.0,1.0,,2.0,3.0,5.666666666666667
fc74d7ce-2818-4bb0-aa42-e9002d717c03,H1,H,1.0,no mention,1,O3,COL,1,COL,1,1,True,6.0,4.0,3.8,2.25,3.111111111111111,6.2,5.0,2.5,4.0,48.0,1.0,4.0,0.0,2.0,0,10.733333333333333,1,115.32,188.806,6.0,6.0,5.0,4.0,4.0,6.0,7.0,2.0,,3.0,1.0,2.0,,3.0,1.0,5.666666666666667
fc74d7ce-2818-4bb0-aa42-e9002d717c03,H1,H,1.0,no mention,1,O3,REL,2,COL,1,1,True,6.0,4.0,3.8,2.25,3.111111111111111,6.2,5.0,2.5,4.0,48.0,1.0,4.0,0.0,2.0,0,10.733333333333333,1,69.372,122.872,6.0,6.0,5.0,7.0,6.0,7.0,7.0,1.0,,3.0,2.0,1.0,,3.0,2.0,5.666666666666667
fc74d7ce-2818-4bb0-aa42-e9002d717c03,H1,H,1.0,no mention,1,O3,ADV,3,COL,1,1,True,6.0,4.0,3.8,2.25,3.111111111111111,6.2,5.0,2.5,4.0,48.0,1.0,4.0,0.0,2.0,0,10.733333333333333,1,103.806,140.077,6.0,7.0,5.0,6.0,6.0,7.0,6.0,2.0,,3.0,1.0,2.0,,3.0,1.0,6.0
087e2941-50e2-4040-b28e-4a6bc2fda26d,H3,H,3.0,mobility,1,O6,COL,1,COL,1,1,True,3.0,4.4,5.4,3.0,4.333333333333333,4.2,5.0,5.5,3.6666666666666665,48.0,0.0,5.0,0.0,3.0,0,28.983333333333334,1,202.646,513.052,6.0,7.0,6.0,3.0,6.0,6.0,6.0,1.0,,2.0,3.0,2.0,,1.0,3.0,6.333333333333333
087e2941-50e2-4040-b28e-4a6bc2fda26d,H3,H,3.0,mobility,1,O6,ADV,2,COL,1,1,True,3.0,4.4,5.4,3.0,4.333333333333333,4.2,5.0,5.5,3.6666666666666665,48.0,0.0,5.0,0.0,3.0,0,28.983333333333334,1,336.484,679.981,5.0,5.0,1.0,4.0,3.0,4.0,2.0,3.0,,2.0,1.0,2.0,,1.0,3.0,3.6666666666666665
087e2941-50e2-4040-b28e-4a6bc2fda26d,H3,H,3.0,mobility,1,O6,REL,3,COL,1,1,True,3.0,4.4,5.4,3.0,4.333333333333333,4.2,5.0,5.5,3.6666666666666665,48.0,0.0,5.0,0.0,3.0,0,28.983333333333334,1,69.384,125.669,5.0,5.0,1.0,4.0,5.0,3.0,2.0,2.0,,1.0,3.0,2.0,,1.0,3.0,3.6666666666666665
09d7687a-d4e3-4019-a688-dc877b72cee9,HA2,HA,2.0,intellectual,1,O3,COL,1,COL,1,1,True,5.0,3.9,4.8,4.5,4.666666666666667,4.2,4.0,4.25,4.666666666666667,44.0,0.0,5.0,1.0,2.0,0,10.4,1,115.266,184.719,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,4.666666666666667
