dv,contrast,spec,diff,ci_lo,ci_hi,d,p_raw,n
CR2,C2 H vs HA,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.16082048516951725,-0.35480612061501743,0.033165150275982935,-0.20423891979318462,0.10418288838783447,271
CR2,C3 disability disclosed vs no mention,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.03405311676727645,-0.24713259352604888,0.17902635999149596,-0.043190540489429205,0.754101562513487,271
CR2,C4 intellectual vs mobility,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.07232070807521301,-0.3080404200879412,0.16339900393751516,-0.09159225982414161,0.5476110209417027,271
CR2,C1 human-involved vs AI-only,participant means: Welch t,0.22269303201506574,,,,0.23368312736512506,272
CR2,C1 human-involved vs AI-only,participant means: Mann-Whitney,0.33333333333333304,,,,0.2869889734803148,272
CR2,C2 H vs HA,participant means: Welch t,-0.13559322033898358,,,,0.18963961350872535,272
CR2,C2 H vs HA,participant means: Mann-Whitney,0.0,,,,0.41336301957682065,272
CR2,C3 disability disclosed vs no mention,participant means: Welch t,-0.10906912793705281,,,,0.32279700922300836,272
CR2,C3 disability disclosed vs no mention,participant means: Mann-Whitney,0.0,,,,0.2594744060631725,272
CR2,C4 intellectual vs mobility,participant means: Welch t,-0.002374169040836982,,,,0.9850063013796811,272
CR2,C4 intellectual vs mobility,participant means: Mann-Whitney,0.0,,,,0.9401458296463291,272
AU1,C1 human-involved vs AI-only,"ordinal GEE, global odds ratio (odds ratio of higher rating)",2.2274163508611684,1.17321284348958,4.228886197091609,,0.014351593787499393,272
AU1,C3 disability disclosed vs no mention,"ordinal GEE, global odds ratio (odds ratio of higher rating)",0.7013679647691866,0.46655244158636233,1.0543659793781477,,0.08811236157002314,236
AU1,C2 H vs HA,"ordinal GEE, global odds ratio (odds ratio of higher rating, HA vs H)",0.8082827939173516,0.5458338409153765,1.1969229937213213,,0.2879735516041947,236
CR1,C1 human-involved vs AI-only,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",2.353175225207403,1.0875036072596946,5.091876112929141,,0.029782971126130778,272
CR1,C3 disability disclosed vs no mention,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",0.6562654761970897,0.4195591872564739,1.026516373207002,,0.06499321700607076,236
CR1,C2 H vs HA,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating, HA vs H)",0.9758141585047274,0.6347459570731498,1.5001486206056351,,0.9111539246946808,236
CR2,C1 human-involved vs AI-only,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",1.5353004057348167,0.7893648130395243,2.9861317567134424,,0.2065495218231559,272
CR2,C3 disability disclosed vs no mention,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",0.7915989430922488,0.5012753489307709,1.2500692245117895,,0.31609921898175486,236
CR2,C2 H vs HA,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating, HA vs H)",1.332530556049049,0.8797876982094552,2.018257002704365,,0.17531643807165742,236
OH1,C1 human-involved vs AI-only,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",1.5702644328682955,0.8778392769206618,2.8088631415315906,,0.12830035599019027,272
OH1,C3 disability disclosed vs no mention,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",0.8955066225480129,0.5779922734358923,1.3874443446453704,,0.6212656289764411,236
OH1,C2 H vs HA,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating, HA vs H)",1.1099772915870987,0.7458164249164736,1.6519475123882021,,0.6070278420620787,236
OH2,C1 human-involved vs AI-only,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",1.9026970522896431,1.0616251849206553,3.410107563586362,,0.030707403953872836,272
OH2,C3 disability disclosed vs no mention,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",0.8658533841375553,0.5651060098668261,1.3266574230897545,,0.5082180071031066,236
OH2,C2 H vs HA,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating, HA vs H)",1.0225296511308006,0.6984440263095296,1.496994530780499,,0.908795415478022,236
OH3,C1 human-involved vs AI-only,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",1.837724248505996,0.9407262241777107,3.5900247348785954,,0.07489295279408505,272
OH3,C3 disability disclosed vs no mention,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating)",0.843826097276038,0.5251317042620056,1.3559312390874954,,0.48285996571254763,236
OH3,C2 H vs HA,"ordinal GEE, independence working correlation, cluster-robust SE (odds ratio of higher rating, HA vs H)",1.2066096011349274,0.7788436215837211,1.8693184218296728,,0.4004069874337036,236
