dv,family,A,B,mean_A,mean_B,n_A,n_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,direction,p_holm,p_bh
CR2,clip-level,H1,H3,5.871794871794871,5.7666666666666675,39,40,0.10512820512849112,0.18821410710805767,-0.2637714448033019,0.47402785506028416,0.5585564586194105,0.5764644628583903,0.11099914040924573,-0.3304101156343997,0.5524083964528912,—,1.0,0.7682320197573037
CR2,clip-level,H1,HA1,5.871794871794871,6.0,39,38,-0.12820512820484456,0.19064358053971361,-0.5018665460626832,0.24545628965299413,-0.672485943884891,0.5012743855531256,-0.1615269314117532,-0.6090178827630044,0.28596401993949805,—,1.0,0.7682320197573037
CR2,clip-level,H1,HA2,5.871794871794871,5.905982905982906,39,39,-0.03418803418774723,0.18940158959535958,-0.405415149794652,0.3370390814191575,-0.1805055293399969,0.8567557139081302,-0.03986234543242477,-0.4837590209221583,0.4040343300573087,—,1.0,0.938712767682134
CR2,clip-level,H1,HA3,5.871794871794871,5.886178861788618,39,41,-0.014383989993460593,0.18707755569581563,-0.38105599915725924,0.3522880191703381,-0.07688784440207608,0.938712767682134,-0.01693477847289503,-0.45534897854785533,0.42147942160206525,—,1.0,0.938712767682134
CR2,clip-level,H1,A,5.871794871794871,5.6388888888888875,39,36,0.23290598290626868,0.1933071879086092,-0.14597610539460537,0.6117880712071427,1.2048490561891614,0.22826157815254033,0.22961283412949787,-0.22488020449081983,0.6841058727498156,—,1.0,0.7682320197573037
CR2,clip-level,H2,H3,5.7435897435897445,5.7666666666666675,39,40,-0.023076923076922565,0.18821410710805536,-0.391976573008711,0.3458227268548659,-0.12260995433075536,0.9024159715087735,-0.02660670195846208,-0.467696008485775,0.41448260456885083,—,1.0,0.938712767682134
CR2,clip-level,H2,HA1,5.7435897435897445,6.0,39,38,-0.2564102564102583,0.19064358053971134,-0.6300716742680925,0.11725116144757591,-1.3449718877727834,0.17863431316568745,-0.3695702474931794,-0.8201303491489367,0.08098985416257792,—,1.0,0.7682320197573037
CR2,clip-level,H2,HA2,5.7435897435897445,5.905982905982906,39,39,-0.16239316239316093,0.18940158959535727,-0.5336202780000612,0.20883395321373932,-0.8574012643721846,0.39122316077501795,-0.2116118583154193,-0.6567049429982882,0.2334812263674496,—,1.0,0.7682320197573037
CR2,clip-level,H2,HA3,5.7435897435897445,5.886178861788618,39,41,-0.1425891181988743,0.18707755569581333,-0.5092611273626684,0.22408289096491982,-0.7621925445226744,0.4459450951388154,-0.1874630474613208,-0.6268306543260499,0.2519045594034083,—,1.0,0.7682320197573037
CR2,clip-level,H2,A,5.7435897435897445,5.6388888888888875,39,36,0.104700854700855,0.19330718790860696,-0.2741812336000146,0.4835829430017246,0.5416293922311681,0.588073839588398,0.11185230861814581,-0.34150636693647146,0.565210984172763,—,1.0,0.7682320197573037
