dv,contrast,n_A,n_B,mean_A,mean_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,status,p_holm_4dv,p_bh_primary12
CR3,C5b mobility vs no mention,81,77,5.851851851851852,6.0476190476190474,-0.18966719879744276,0.16192081034016212,-0.5070319870641605,0.127697589469275,-1.171357766793479,0.24145500065025038,-0.1830448071502506,-0.49565541713893757,0.1295658028384364,secondary,,
PE,C1 human-involved vs AI-only,236,36,5.114406779661017,4.868055555555555,0.24938016358908646,0.26589871525035197,-0.27178131830160346,0.7705416454797763,0.9378765269861767,0.34916185369729547,0.16824231804299752,-0.1827405360045571,0.5192251720905522,secondary,,
PE,C2 H vs HA,118,118,4.995762711864407,5.233050847457627,-0.24363212204996432,0.19351744840487456,-0.6229263209235185,0.13566207682358983,-1.2589672097176505,0.20915005620483235,-0.17195932518339038,-0.42760074243234913,0.08368209206556834,secondary,,
PE,C3 disability disclosed vs no mention,159,77,5.053459119496855,5.240259740259741,-0.18885148201178434,0.2063431126646204,-0.5932839828344403,0.21558101881087163,-0.9152303635098008,0.36090275753583545,-0.13308030862203085,-0.4054698454431292,0.1393092281990675,secondary,,
PE,C4 intellectual vs mobility,78,81,5.105769230769231,5.003086419753086,0.10256801125703574,0.23574782074475453,-0.35949771740268316,0.5646337399167547,0.43507511939245747,0.663862015376769,0.07352837932429043,-0.2375082018842867,0.3845649605328676,secondary,,
PE,C5a intellectual vs no mention,78,77,5.105769230769231,5.240259740259741,-0.13756747638326647,0.23873402234808785,-0.6054861601855187,0.3303512074189857,-0.5762374169806649,0.5649437961851462,-0.09503117829044065,-0.4100773728293682,0.22001501624848685,secondary,,
PE,C5b mobility vs no mention,81,77,5.003086419753086,5.240259740259741,-0.24013548764030218,0.23653656029185346,-0.703747145812335,0.22347617053173058,-1.0152150997038603,0.310929302865047,-0.16885912014791596,-0.48137264935204516,0.14365440905621327,secondary,,
HM,C1 human-involved vs AI-only,236,36,5.1172316384180805,4.805555555555556,0.3164817009168743,0.2884293065593318,-0.24883973993941605,0.8818031417731647,1.0972591679125085,0.2735241580374713,0.19629600060038702,-0.15478971824448087,0.5473817194452549,secondary,,
HM,C2 H vs HA,118,118,5.0875706214689265,5.146892655367231,-0.06772123659158247,0.20991490462071863,-0.479154449648191,0.34371197646502605,-0.3226128069083207,0.7472428789232259,-0.0430646625841216,-0.2982645032604276,0.21213517809218435,secondary,,
HM,C3 disability disclosed vs no mention,159,77,4.987421383647798,5.3852813852813854,-0.39926530287570106,0.22382733531869434,-0.8379668801003419,0.039436274348939815,-1.7838093917671454,0.07559887523117037,-0.25567150528487353,-0.5287721163458723,0.017429105776125275,secondary,,
HM,C4 intellectual vs mobility,78,81,5.0427350427350435,4.9341563786008225,0.10757244110902695,0.25572361414481565,-0.3936458426148117,0.6087907248328657,0.42065900510896476,0.6743450269151157,0.0655141093155373,-0.24550083124965494,0.37652904988072955,secondary,,
HM,C5a intellectual vs no mention,78,77,5.0427350427350435,5.3852813852813854,-0.34547908232118757,0.25896284776384554,-0.8530462639383247,0.16208809929594964,-1.3340874388137647,0.18332053551488134,-0.22716655124782442,-0.5430489489581976,0.08871584646254871,secondary,,
HM,C5b mobility vs no mention,81,77,4.9341563786008225,5.3852813852813854,-0.45305152343021454,0.2565791865397837,-0.9559467290481904,0.04984368218776142,-1.765737624863687,0.07859138637789166,-0.29691061389258194,-0.6105820624929176,0.01676083470775369,secondary,,
BEL1,C1 human-involved vs AI-only,236,36,5.165254237288136,5.444444444444445,-0.2822671516188834,0.2729077827770077,-0.8171664058618185,0.2526321026240518,-1.0342949869242943,0.30194121990031747,-0.18516322940438887,-0.536206236445473,0.16587977763669534,secondary,,
BEL1,C2 H vs HA,118,118,5.135593220338983,5.194915254237288,-0.05341441471094855,0.19861855189151162,-0.4427067764183113,0.3358779469964142,-0.2689296352342972,0.7881930864707745,-0.03427357774526016,-0.2894625765131965,0.22091542102267617,secondary,,
BEL1,C3 disability disclosed vs no mention,159,77,5.138364779874214,5.220779220779221,-0.08416321055923047,0.2117822995706758,-0.49925651771775503,0.33093009659929407,-0.3974043663226143,0.6913892012565608,-0.05401054573434822,-0.32617898241558135,0.21815789094688492,secondary,,
BEL1,C4 intellectual vs mobility,78,81,4.961538461538462,5.308641975308642,-0.3451688555347078,0.24196211325574377,-0.8194145975159656,0.12907688644655002,-1.4265409195276735,0.1548893290643511,-0.22663668062175574,-0.5385644731372088,0.08529111189369731,secondary,,
BEL1,C5a intellectual vs no mention,78,77,4.961538461538462,5.220779220779221,-0.25674763832658437,0.24502703087944694,-0.7370006188503004,0.22350534219713164,-1.0478339365459803,0.29566985872835455,-0.15836827887309943,-0.4737299685505668,0.156993410804368,secondary,,
BEL1,C5b mobility vs no mention,81,77,5.308641975308642,5.220779220779221,0.08842121720812343,0.24277164391024372,-0.38741120485595426,0.5642536392722011,0.36421558870694987,0.715987466610621,0.05816311532218349,-0.25386123621934464,0.3701874668637116,secondary,,
